prefix,input_text,target_text
sum,"the chrome web store inline-installation implementation in the extensions subsystem in google chrome before 52.0.2743.82 does not properly consider object lifetimes during progress observation , which allows remote attackers to cause a denial of service ( use-after-free ) or possibly have unspecified other impact via a crafted web site . ","in google chrome before 52.0.2743.82 , denial of service is possible via a crafted web site for the extensions subsystem in the chrome web store inline-installation implementation . "
bug,"webkit , as used in apple safari before 6.1.4 and 7.x before 7.0.4 , allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site , a different vulnerability than other webkit cves listed in apple-sa-2014-05-21-1 . ",executing arbitrary commands is possible via a crafted web site . 
bug,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site . 
swv,"mobileinstallation in apple ios before 8.4 does not ensure the uniqueness of watch bundle ids , which allows attackers to cause a denial of service ( id collision and watch launch outage ) via a crafted universal provisioning profile app . ",apple ios before 8.4
sum,fortiguard fortiauthenticator before 3.0 allows remote administrators to gain privileges via the command line interface . ,"in fortiguard fortiauthenticator before 3.0 , gaining privileges is possible via the command line interface . "
sum,"adobe reader and acrobat 10.x before 10.1.15 and 11.x before 11.0.12 , acrobat and acrobat reader dc classic before 2015.006.30060 , and acrobat and acrobat reader dc continuous before 2015.008.20082 on windows and os x allow attackers to execute arbitrary code or cause a denial of service ( memory corruption ) via unspecified vectors , a different vulnerability than cve-2015-3095 , cve-2015-5087 , cve-2015-5094 , cve-2015-5100 , cve-2015-5102 , cve-2015-5103 , and cve-2015-5104 . ","in adobe reader and acrobat 10.x before 10.1.15 and 11.x before 11.0.12 , acrobat and acrobat reader dc classic before 2015.006.30060 , and acrobat and acrobat reader dc continuous before 2015.008.20082 on windows and os x , executing arbitrary commands and denial of service is possible via unspecified vectors . "
sum,"the photo-decoder implementation in microsoft windows vista sp2 , windows server 2008 sp2 and r2 sp1 , windows 7 sp1 , windows 8 , windows 8.1 , windows server 2012 gold and r2 , and windows rt gold and 8.1 does not properly initialize memory for rendering of jxr images , which allows remote attackers to obtain sensitive information from process memory via a crafted web site , aka jpeg xr parser information disclosure vulnerability . ","in microsoft windows vista sp2 , windows server 2008 sp2 and r2 sp1 , windows 7 sp1 , windows 8 , windows 8.1 , windows server 2012 gold and r2 , and windows rt gold and 8.1 , gaining information is possible via a crafted web site for the photo-decoder implementation . "
bug,"multiple cross-site scripting ( xss ) vulnerabilities in cacti 0.8.8b allow remote attackers to inject arbitrary web script or html via the ( 1 ) drp_action parameter to cdef.php , ( 2 ) data_input.php , ( 3 ) data_queries.php , ( 4 ) data_sources.php , ( 5 ) data_templates.php , ( 6 ) graph_templates.php , ( 7 ) graphs.php , ( 8 ) host.php , or ( 9 ) host_templates.php or the ( 10 ) graph_template_input_id or ( 11 ) graph_template_id parameter to graph_templates_inputs.php . ","xss is possible via the drp_action parameter to cdef.php , data_input.php , data_queries.php , data_sources.php , data_templates.php , graph_templates.php , graphs.php , host.php , host_templates.php , the graph_template_input_id and graph_template_id parameters of graph_templates_inputs.php ."
bug,apple quicktime allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption ) via a malformed version number and flags in an mvhd atom . ,executing arbitrary commands and denial of service is possible via a malformed version number and flags in an mvhd atom . 
swv,sql injection vulnerability in index.php in je cms 1.0.0 and 1.1 allows remote attackers to execute arbitrary sql commands via the categoryid parameter in a viewcategory action . note : some of these details are obtained from third party information .,je cms 1.0.0 and 1.1
sum,"memory leak in qemu ( aka quick emulator ) , when built with ide ahci emulation support , allows local guest os privileged users to cause a denial of service ( memory consumption ) by repeatedly hot-unplugging the ahci device . ",in qemu ( aka quick emulator ) when built with ide ahci emulation support a denial of service is possible when local guest os privileged users repeatedly hot-unplug the ahci device
bug,"buffer overflows in ascdc afterstep while running setuid allows local users to gain root privileges via a long ( 1 ) -d option , ( 2 ) -m option , or ( 3 ) -f option . ","gaining privileges is possible via a long -d option , -m option , or -f option . "
sum,directory traversal vulnerability in the syno.filestation.extract in synology diskstation manager ( dsm ) 6.0.x before 6.0.3-8754-3 and before 5.2-5967-6 allows remote authenticated users to write arbitrary files via the dest_folder_path parameter .,in the syno.filestation.extract in synology diskstation manager ( dsm ) 6.0.x before 6.0.3-8754-3 and before 5.2-5967-6 directory traversal is possible allowing remote authenticated users to write arbitrary files via the dest_folder_path parameter .
bug,"the protected node 6.x-1.x before 6.x-1.6 for drupal does not properly protect node access when nodes are accessed outside of the standard node view , which allows remote attackers to bypass intended access restrictions . ",remote bypass vulnerability exists when nodes are accessed outside of the standard node view
swv,"the navigator.sendbeacon implementation in mozilla firefox before 35.0 , firefox esr 31.x before 31.4 , thunderbird before 31.4 , and seamonkey before 2.32 omits the cors origin header , which allows remote attackers to bypass intended cors access-control checks and conduct cross-site request forgery ( csrf ) attacks via a crafted web site . ",mozilla firefox before 35.0 firefox esr 31.x before 31.4 thunderbird before 31.4 seamonkey before 2.32
sum,crlf injection vulnerability in cryptographp.inc.php in cryptographp allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via the cfg parameter . ,"in cryptographp , httprs and crlf injection are possible via the cfg parameter for the cryptographp.inc.php . "
bug,sql injection vulnerability in the getprofile function in system/profile.functions.php in free reprintables articlefr 3.0.5 allows remote attackers to execute arbitrary sql commands via the username parameter to register/ . ,sql injection is possible via the getprofile function in system/profile.functions.php
sum,"multiple cross-site request forgery ( csrf ) vulnerabilities in the web interface in the scheduler in solarwinds ( formerly serv-u ) ftp voyager 16.2.0 allow remote attackers to hijack the authentication of users for requests that ( 1 ) change the admin password , ( 2 ) terminate the scheduler , or ( 3 ) possibly execute arbitrary commands via crafted requests to admin/xml/result.xml . ","in the web interface in the scheduler in solarwinds ( formerly serv-u ) ftp voyager 16.2.0 multiple csrf vulnerabilities exist that allow for hijacking requsts that change the admin password , terminate the scheduler or possibly execute arbitrary commands via crafted requests to admin/xml/result.xml"
sum,an exploitable integer overflow vulnerability exists in xls_appendsst function of libxls 1.4 . a specially crafted xls file can cause memory corruption resulting in remote code execution . ,"in libxls 1.4 , memory corruption is possible in the xls_appendsst function via a crafted xls file ."
sum,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .","in ios before 11.1 , safari before 11.0.1 , icloud before 7.1 for windows , itunes before 12.7.1 for windows , tvos before 11.1 , memory corruption is possible in the webkit component via a crafted web site . "
swv,"an issue was discovered in certain apple products . ios before 11.2 is affected . macos before 10.13.2 is affected . tvos before 11.2 is affected . watchos before 4.2 is affected . the issue involves the "" kernel "" component . it allows attackers to execute arbitrary code in a privileged context or cause a denial of service ( memory corruption ) via a crafted app .",ios before 11.2 macos before 10.13.2 tvos before 11.2 watchos before 4.2
bug,xss exists in liferay portal before 7.0 ce ga4 via a bookmark url . ,xss is possible via a bookmark url . 
bug,"stack-based buffer overflow in the megasas_ctrl_get_info function in qemu , when built with scsi megaraid sas hba emulation support , allows local guest users to cause a denial of service ( qemu instance crash ) via a crafted scsi controller ctrl_get_info command . ",denial of service from stack-based buffer overflow is possible via a crafted scsi controller ctrl_get_info command .
swv,"in poppler 0.59.0 , memory corruption occurs in a call to object : :streamgetchar in object.h after a repeating series of gfx : :display , gfx : :go , gfx : :execop , gfx : :opshowtext , and gfx : :doshowtext calls ( aka a gfx.cc infinite loop ) . ",poppler 0.59.0
bug,"a vulnerability in cisco meeting server could allow an unauthenticated , remote attacker to conduct a cross-site request forgery ( csrf ) attack against a web bridge user . more information : cscvb03308 . known affected releases : 1.8 , 1.9 , 2.0 . more information : cscvb03308 . ",csrf is possible via a remote attack against a web bridge user
swv,"multiple php remote file inclusion vulnerabilities in advanced poll 2.0.2 allow remote attackers to execute arbitrary php code via the include_path parameter in ( 1 ) booth.php , ( 2 ) png.php , ( 3 ) poll_ssi.php , or ( 4 ) popup.php , the ( 5 ) base_path parameter to common.inc.php . ",advanced poll 2.0.2
swv,drupal 6.x before 6.27 allows remote attackers to obtain sensitive information about uploaded files via a ( 1 ) rss feed or ( 2 ) search result . ,drupal 6.x before 6.27
sum,"the agent and task-agent components in symantec management platform 7.0 and 7.1 before 7.1 sp2 mp1.1v7 rollup , as used in certain altiris products , use the same registry-entry encryption key across different customers installations , which makes it easier for local users to obtain sensitive information about package-server access , or cause a denial of service , by leveraging knowledge of this key . ","in symantec management platform 7.0 and 7.1 before 7.1 sp2 mp1.1v7 rollup , gaining information is possible via leveraging knowledge of this key for the agent and task-agent components . "
swv,"crlf injection vulnerability in the universal access implementation in ibm curam social program management 6.0 sp2 before ep26 , 6.0.4 before 6.0.4.5 ifix007 , and 6.0.5 before 6.0.5.5 ifix003 , when websphere application server is not used , allows remote authenticated users to inject arbitrary http headers and conduct http response splitting attacks via an unspecified parameter . ",universal access implementation in ibm curam social program management 6.0 sp2 before ep26 6.0.4 before 6.0.4.5 ifix007 and 6.0.5 before 6.0.5.5 ifix003
swv,"adobe flash player before 13.0.0.250 and 14.x and 15.x before 15.0.0.189 on windows and os x and before 11.2.202.411 on linux , adobe air before 15.0.0.293 , adobe air sdk before 15.0.0.302 , and adobe air sdk & compiler before 15.0.0.302 allow attackers to execute arbitrary code or cause a denial of service ( memory corruption ) via unspecified vectors , a different vulnerability than cve-2014-0558 . ",adobe flash player before 13.0.0.250 and 14.x and 15.x before 15.0.0.189 on windows and os x and before 11.2.202.411 on linux adobe air before 15.0.0.293 adobe air sdk before 15.0.0.302 adobe air sdk & compiler before 15.0.0.302
sum,"openjpeg : a heap-based buffer overflow flaw was found in the patch for cve-2013-6045 . a crafted j2k image could cause the application to crash , or potentially execute arbitrary code . ","in openjpeg , executing arbitrary commands is possible via a heap-based buffer overflow . "
bug,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site.
sum,"buffer overflows in pileup before 1.2 allows local users to gain root privileges via ( 1 ) long command line arguments , or ( 2 ) a long callsign . ","in pileup before 1.2 , gaining privileges is possible via long command line arguments , or a long callsign . "
bug,"the text formats in apple os x before 10.10.5 , as used in textedit , allows remote attackers to read arbitrary files via a text file containing an xml external entity declaration in conjunction with an entity reference , related to an xml external entity ( xxe ) issue . ",gaining information is possible via a text file containing an xml external entity declaration in conjunction with an entity reference for the text formats . 
swv,"cross-site scripting ( xss ) vulnerability in viewfilecontents.do in the dialed number analyzer ( dna ) component in cisco unified communications manager allows remote attackers to inject arbitrary web script or html via an unspecified parameter , aka bug id cscup76308 . ",dialed number analyzer ( dna ) component cisco unified communications manager
bug,directory traversal vulnerability in components/filemanager/download.php in codiad 2.4.3 allows remote attackers to read arbitrary files via a .. ( dot dot ) in the path parameter . note : this issue was originally incorrectly mapped to cve-2014-1137 ; see cve-2014-1137 for more information .,remote attackers can read arbitrary files via a .. ( dot dot ) in the path parameter . note : this issue was originally incorrectly mapped to cve-2014-1137 ; see cve-2014-1137 for more information .
bug,php remote file inclusion vulnerability in mod_membre/inscription.php in portailphp 1.7 allows remote attackers to execute arbitrary php code via a url in the chemin parameter . ,code execution is possible from a file inclusion vulnerability in mod_membre/inscription.php via a url in the chemin parameter . 
bug,"iis 5.0 uses relative paths to find system files that will run in-process , which allows local users to gain privileges via a trojan horse file , aka the system file listing privilege elevation vulnerability . ","gaining privileges is possible via a trojan horse file , aka the system file listing privilege elevation vulnerability . "
sum,sql injection vulnerability in photos.php in model agency manager pro ( formerly modeling agency content management script ) allows remote attackers to execute arbitrary sql commands via the album parameter . ,"in model agency manager pro ( formerly modeling agency content management script ) , sql injection is possible via the album parameter . "
sum,"xen , when used on a system providing pv backends , allows local guest os administrators to cause a denial of service ( host os crash ) or gain privileges by writing to memory shared between the frontend and backend , aka a double fetch vulnerability . ","in xen , denial of service is possible via writing to memory shared between the fronted and backend . "
sum,multiple directory traversal vulnerabilities in sysax multi server 4.5 allow remote authenticated users to read or modify arbitrary files via crafted ftp commands . note : the provenance of this information is unknown ; the details are obtained solely from third party information .,in sysax multi server 4.5 multiple directory traversal vulnerabilities exist allowing remote authenticated attackers to read or modify arbitrary files via crafted ftp commands
swv,"an issue was discovered in certain apple products . ios before 11.2 is affected . safari before 11.0.2 is affected . icloud before 7.2 on windows is affected . itunes before 12.7.2 on windows is affected . tvos before 11.2 is affected . the issue involves the ""webkit"" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",ios before 11.2 safari before 11.0.2 icloud before 7.2 for windows itunes before 12.7.2 for windows tvos before 11.2
sum,an unspecified ajax service in the content management toolkit in ibm business process manager ( bpm ) 8.5.x through 8.5.5 allows remote authenticated users to obtain sensitive information by performing a document-attachment search and then reading document properties in the search results . ,"in ibm business process manager ( bpm ) 8.5.x through 8.5.5 , gaining information is possible via performing a document-attachment search and then reading document properties in the search results for the content management toolkit for the ajax service . "
swv,"adobe reader and acrobat 10.x before 10.1.14 and 11.x before 11.0.11 on windows and os x allow attackers to execute arbitrary code or cause a denial of service ( memory corruption ) via unspecified vectors , a different vulnerability than cve-2014-9161 , cve-2015-3046 , cve-2015-3049 , cve-2015-3050 , cve-2015-3051 , cve-2015-3052 , cve-2015-3056 , cve-2015-3057 , and cve-2015-3076 . ",adobe reader and acrobat 10.x before 10.1.14 and 11.x before 11.0.11 on windows and os x
sum,"motorola scanner sdk uses weak permissions for ( 1 ) corescanner.exe , ( 2 ) rsmdriverproviderservice.exe , and ( 3 ) scannerservice.exe , which allows local users to gain privileges via unspecified vectors . ","in motorola scanner sdk , gaining privileges is possible via unspecified vectors . "
sum,"webkit , as used in apple ios before 8.4.1 and safari before 6.2.8 , 7.x before 7.1.8 , and 8.x before 8.0.8 , allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site , a different vulnerability than other webkit cves listed in apple-sa-2015-08-13-1 and apple-sa-2015-08-13-3 . ","in apple ios before 8.4.1 and safari before 6.2.8 , 7.x before 7.1.8 , and 8.x before 8.0.8 , denial of service is possible via a crafted web site for webkit . "
bug,adobe flash player versions 25.0.0.127 and earlier have an exploitable memory corruption vulnerability when parsing a shape outline . successful exploitation could lead to arbitrary code execution .,code execution is possible via an exploitable memory corruption vulnerability when parsing a shape outline
bug,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site . 
swv,"http response splitting vulnerability in index.php in phpsysinfo 2.4 and earlier , as used in phpgroupware 0.9.16 and earlier , and egroupware before 1.0.0.009 , allows remote attackers to spoof web content and poison web caches via crlf sequences in the charset parameter . ",phpsysinfo 2.4 and earlier
sum,"crlf injection vulnerability in ibm websphere portal 6.1.0.x before 6.1.0.3 cf26 , 6.1.5.x before 6.1.5 cf26 , 7.0.0.x before 7.0.0.2 cf21 , and 8.0.0.x through 8.0.0.1 cf5 , when home substitution ( aka uri.home.substitution ) is enabled , allows remote authenticated users to inject arbitrary http headers and conduct http response splitting attacks via unspecified vectors . ","in ibm websphere portal 6.1.0.x before 6.1.0.3 cf26 , 6.1.5.x before 6.1.5 cf26 , 7.0.0.x before 7.0.0.2 cf21 , and 8.0.0.x through 8.0.0.1 cf5 , httprs and crlf injection are possible via unspecified vectors . "
swv,"adobe flash player before 18.0.0.375 and 19.x through 23.x before 23.0.0.162 on windows and os x and before 11.2.202.635 on linux allows attackers to execute arbitrary code or cause a denial of service ( memory corruption ) via unspecified vectors , a different vulnerability than cve-2016-4274 , cve-2016-4275 , cve-2016-4276 , cve-2016-4280 , cve-2016-4281 , cve-2016-4283 , cve-2016-4284 , cve-2016-4285 , cve-2016-6922 , and cve-2016-6924 . ",adobe flash player before 18.0.0.375 and 19.x through 23.x before 23.0.0.162 on windows and os x and before 11.2.202.635 on linux
sum,"an issue was discovered in certain apple products . ios before 10.2 is affected . safari before 10.0.2 is affected . icloud before 6.1 is affected . itunes before 12.5.4 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .","in ios before 10.2 , safari before 10.0.2 , icloud before 6.1 , and itunes before 12.5.4 arbitrary code execution and denial of service is possible via a crafted web site because of an issue involving the "" webkit "" component"
swv,"the get_resource function in repos.c in the mod_dav_svn in apache subversion before 1.7.15 and 1.8.x before 1.8.6 , when svnlistparentpath is enabled , allows remote attackers to cause a denial of service ( crash ) via vectors related to the server root and request methods other than get , as demonstrated by the svn ls command . ",apache subversion before 1.7.15 and 1.8.x before 1.8.6
sum,"in poppler 0.59.0 , memory corruption occurs in a call to object : :streamgetchar in object.h after a repeating series of gfx : :display , gfx : :go , gfx : :execop , gfx : :opshowtext , and gfx : :doshowtext calls ( aka a gfx.cc infinite loop ) . ","in poppler 0.59.0 , memory corruption is possible via a call to object :: streamgetchar in object.h . "
swv,"the android webview in android before 4.4 allows remote attackers to bypass the same origin policy via a crafted attribute containing a u0000 character , as demonstrated by an onclick= window.open ( u0000javascript : sequence to the android browser 4.2.1 or a third-party web browser . ",android before 4.4
sum,ntguard.sys and ntguard_x64.sys 0.18780.0.0 in ikarus anti.virus 2.16.15 have a memory corruption vulnerability via a 0x83000084 deviceiocontrol request . ,"in ntguard.sys and ntguard_x64.sys 0.18780.0.0 of ikarus anti.virus 2.16.15 , memory corruption is possibl via a 0x83000084 deviceiocontrol request . "
sum,crlf injection vulnerability in ibm tivoli integrated portal ( tip ) 2.2.x allows remote authenticated users to inject arbitrary http headers and conduct http response splitting attacks via unspecified vectors . ,"in ibm tivoli integrated portal ( tip ) 2.2.x , httprs and crlf injection are possible via unspecified vectors . "
bug,a denial of service vulnerability exists in the psnotifyd of the pharos popup printer client version 9.0 . a specially crafted packet can be sent to the victim computer and can lead to an out of bounds read causing a crash and a denial of service . ,denial of service attack is possible by sending a specially crafted packet that leads to an out of bounds read
swv,"crlf injection vulnerability in premium/index.php in shop-script allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via crlf sequences in the ( 1 ) links_exchange , ( 2 ) news , ( 3 ) search_with_change_category_ability , ( 4 ) logging , ( 5 ) feedback , ( 6 ) show_price , ( 7 ) register , ( 8 ) answer , ( 9 ) productid , and ( 10 ) inside parameters . ",shop-script
sum,multiple cross-site request forgery ( csrf ) vulnerabilities in the user import 6.x-4.x before 6.x-4.4 and 7.x-2.x before 7.x-2.3 for drupal allow remote attackers to hijack the authentication of administrators for requests that ( 1 ) continue or ( 2 ) delete an ongoing import via unspecified vectors . ,in user import 6.x-4.x before 6.x-4.4 and 7.x-2.x before 7.x-2.3 for drupal a csrf vulnerability exists allowing remote attackers to hijack the authentication of administrators for requests that continue or delete an ongoing import via unspecified vectors
swv,"yabb se 1.5.1 allows remote attackers to obtain sensitive information via a direct http request to admin.php , which reveals the full path in a php error message . ",yabb se 1.5.1
bug,use-after-free vulnerability in atomicbaseincdec function in mozilla firefox before 45.0 and firefox esr 38.x before 38.7 allows remote attackers to execute arbitrary code or cause a denial of service ( heap memory corruption ) by leveraging mishandling of xml transformations . ,denial of service is possible via leveraging mishandling of xml transformations for the atomicbaseincdec function . 
sum,"unspecified vulnerability in the oracle application testing suite in oracle enterprise manager grid control 12.4.0.2 and 12.5.0.2 allows remote attackers to affect confidentiality and integrity via unknown vectors related to load testing for web apps , a different vulnerability than cve-2016-0492 . note : the previous information is from the january 2016 cpu . oracle has not commented on third-party claims that this is a directory traversal vulnerability in the isallowedurl function in the admin pages , which allows remote attackers to bypass authentication and gain administrator access via directory traversal sequences following a uri entry that does not require authentication . ",in the oracle application testing suite in oracle enterprise manager grid control 12.4.0.2 and 12.5.0.2 remote attackers can affect confidentiality and integrity via unknown vectors related to load testing for web apps
swv,"chakracore and windows 10 1511 , 1607 , 1703 , 1709 , and windows server 2016 allows an attacker to execute arbitrary code in the context of the current user , due to how the scripting engine handles objects in memory , aka scripting engine memory corruption vulnerability . this cve id is unique from cve-2017-11886 , cve-2017-11889 , cve-2017-11890 , cve-2017-11893 , cve-2017-11894 , cve-2017-11895 , cve-2017-11901 , cve-2017-11903 , cve-2017-11905 , cve-2017-11905 , cve-2017-11907 , cve-2017-11908 , cve-2017-11910 , cve-2017-11911 , cve-2017-11912 , cve-2017-11913 , cve-2017-11914 , cve-2017-11916 , cve-2017-11918 , and cve-2017-11930 .",chakracore windows 10 1511 1607 1703 1709 windows server 2016
bug,"the web application does not sufficiently verify that requests were provided by the user who submitted the request . a cross-site request forgery issue was discovered in belden hirschmann gecko lite managed switch , version 2.0.00 and prior versions . ",csrf vulnerability exists because the web application lacks sufficient verification of requests
sum,"multiple sql injection vulnerabilities in the interjoomla artforms ( com_artforms ) 2.1b7.2 rc2 for joomla allow remote attackers to execute arbitrary sql commands via the viewform parameter in a ( 1 ) ferforms or ( 2 ) tferforms action to index.php , and the ( 3 ) id parameter in a vferforms action to index.php . ","in the interjoomla artforms ( com_artforms ) 2.1b7.2 rc2 for joomla , sql injection is possible via the viewform parameter in the ferforms and tferforms action of index.php ,  and the id parameter of a veferforms action of index.php ."
swv,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",ios before 11.1 safari before 11.0.1 icloud before 7.1 for windows itunes before 12.7.1 for windows tvos before 11.1
bug,"crlf injection vulnerability in ibm websphere extreme scale 7.1.0 before 7.1.0.3 , 7.1.1 before 7.1.1.1 , 8.5 before 8.5.0.3 , and 8.6 before 8.6.0.8 allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via a crafted url . ",httprs and crlf injection are possible via a crafted url . 
swv,"the adopt o pet ( aka com.wfindapet ) 0.1 for android does not verify x.509 certificates from ssl servers , which allows man-in-the-middle attackers to spoof servers and obtain sensitive information via a crafted certificate . ",adopt o pet ( aka com.wfindapet ) 0.1 for android
bug,"cybozu garoon 3.x and 4.x before 4.2.1 allows remote authenticated users to bypass intended access restrictions and obtain sensitive address book information via an api call , a different vulnerability than cve-2015-7776 . ",remote authenticated users can access restrictions and obtain sensitive address book information via an api call
sum,"remote attackers can make a get request with any domain name in the host header ; this is stored and allows for arbitrary domains to be set for certain links displayed to subsequent visitors , potentially an xss vector . concrete5 8.1.0 places incorrect trust in the http host header during caching , if the administrator did not define a canonical url on installation of concrete5 using the advanced options settings . ",in concrete5 8.1.0 xss is possible via a get request with any domain name in the host header because of incorrect trust in the http host header during caching .
bug,"iohidfamily in apple ios before 9.3.3 , os x before 10.11.6 , tvos before 9.2.2 , and watchos before 2.2.2 allows local users to gain privileges or cause a denial of service ( null pointer dereference ) via unspecified vectors . ",denial of service and gaining priviledges attacks are possible via unspecified vectors
bug,"ibm websphere mq 7.0.1 before 7.0.1.13 , 7.1 before 7.1.0.6 , 7.5 before 7.5.0.5 , and 8 before 8.0.0.1 allows remote authenticated users to cause a denial of service ( queue-slot exhaustion ) by leveraging pcf query privileges for a crafted query . ",denial of service is possible via leveraging pcf query privileges for a crafted query . 
sum,"atmfd.dll in the windows adobe type manager library in microsoft windows vista sp2 , windows server 2008 sp2 and r2 sp1 , windows 7 sp1 , windows 8 , windows 8.1 , windows server 2012 gold and r2 , windows rt gold and 8.1 , and windows 10 allows remote attackers to execute arbitrary code via a crafted opentype font , aka opentype font parsing vulnerability , a different vulnerability than cve-2015-2459 and cve-2015-2461 . ","in microsoft windows vista sp2 , windows server 2008 sp2 and r2 sp1 , windows 7 sp1 , windows 8 , windows 8.1 , windows server 2012 gold and r2 , windows rt gold and 8.1 , and windows 10 , executing arbitrary commands is possible via a crafted opentype font for the windows adobe type manager library in the atmfd.dll . "
sum,"crlf injection vulnerability in oxid eshop professional edition before 4.7.11 and 4.8.x before 4.8.4 , enterprise edition before 5.0.11 and 5.1.x before 5.1.4 , and community edition before 4.7.11 and 4.8.x before 4.8.4 allows remote attackers to inject arbitrary http headers and conduct http response splitting attacks via unspecified vectors . ","in oxid eshop professional edition before 4.7.11 and 4.8.x before 4.8.4 , enterprise edition before 5.0.11 and 5.1.x before 5.1.4 , and community edition before 4.7.11 and 4.8.x before 4.8.4 , httprs and crlf injection are possible via unspecified vectors . "
swv,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",ios before 11.1 safari before 11.0.1 icloud before 7.1 for windows itunes before 12.7.1 for windows tvos before 11.1
bug,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site . 
bug,"the http header parsing code in node.js 0.10.x before 0.10.42 , 0.11.6 through 0.11.16 , 0.12.x before 0.12.10 , 4.x before 4.3.0 , and 5.x before 5.6.0 allows remote attackers to bypass an http response-splitting protection mechanism via utf-8 encoded unicode characters in the http header , as demonstrated by % c4 % 8d % c4 % 8a . ","httprs is possible via utf-8 encoded unicode characters in the http header , as demonstrated by % c4 % 8d % c4 % 8a . "
swv,"use-after-free vulnerability in pdfium , as used in google chrome before 39.0.2171.65 , allows remote attackers to cause a denial of service or possibly have unspecified other impact via a crafted pdf document . ",pdfium
sum,unspecified vulnerability in wmi mapper for hp systems insight manager before 2.5.2.0 allows local users to gain privileges via unknown vectors . ,"in hp systems insight manager before 2.5.2.0 , gaining privileges is possible via unknown vectors for the wmi mappter . "
bug,"buffer overflow in ether software easy mov converter 1.4.24 , easy dvd creator , easy mpeg/avi/divx/wmv/rm to dvd , easy avi/divx/xvid to dvd burner , easy mpeg to dvd burner , easy wmv/asf/asx to dvd burner , easy rm rmvb to dvd burner , easy cd dvd copy , mp3/avi/mpeg/wmv/rm to audio cd burner , mp3/wav/ogg/wma/ac3 to cd burner , mp3 wav to cd burner , my video converter , easy avi divx converter , easy video to ipod converter , easy video to psp converter , easy video to 3gp converter , easy video to mp4 converter , and easy video to ipod/mp4/psp/3gp converter allows local attackers to cause a denial of service ( seh overwrite ) or possibly have unspecified other impact via a long username . ",buffer overflow is possible via a long username 
bug,"an issue was discovered in certain apple products . ios before 11.1 is affected . safari before 11.0.1 is affected . icloud before 7.1 on windows is affected . itunes before 12.7.1 on windows is affected . tvos before 11.1 is affected . the issue involves the "" webkit "" component . it allows remote attackers to execute arbitrary code or cause a denial of service ( memory corruption and application crash ) via a crafted web site .",memory corruption is possible in the webkit component via a crafted web site . 
bug,format string vulnerability in openbsd su program ( and possibly other bsd-based operating systems ) allows local attackers to gain root privileges via a malformed shell . ,gaining privileges is possible via a malformed shell . 
